Name,CTSG,ST14,ADAM9,MMP24,CTSK,F2,NAPSA,rPLPro,FAP,r3CLpro,GZMK,PRTN3,CTSB,GZMA,GZMB,GZMH,LGMN,ELANE,KLK5,PRSS3,MMP9
S70,0.977722,1.01296672,1.02875162,1.01301729,0.99393939,0.96698113,0.96641791,0.94520548,0.99096138,0.95221792,1.00181781,1.00816709,1.01424501,0.95879929,1.48231234,1.0128515999999999,1.00679117,1.47008547,1.01298701,1.05188679,0.97575758
S138,0.99576271,1.02027397,1.0148236,1.05293441,2.85935884,1.0,1.03985507,1.00601052,1.74423876,1.05106383,1.05735003,1.04974178,1.00819672,1.03629537,1.00793651,1.03201348,0.95959596,0.93373494,1.06666667,1.07246377,1.13888889
S139,0.97594005,1.13048128,1.0122633,0.97905759,2.68678161,0.96941541,1.00088183,0.97407662,0.98939791,1.07700406,1.03342618,1.59951624,1.03193431,0.99501413,0.9888164,0.99475736,0.98957247,3.76612549,2.31962025,3.1739645,0.97741935
S140,0.98975672,1.3777403,0.9021879,1.13962264,3.44924898,1.3485261999999998,1.24534161,1.01162435,1.02745722,1.04689922,1.78055191,1.15356019,1.04659498,1.04566872,1.02523191,1.01523487,1.0798005,2.89194139,3.23667205,5.41609354,1.05405405
S141,0.98975672,1.0661234,0.95748088,1.13962264,1.9193654999999998,1.3485261999999998,1.0183726999999998,1.01162435,0.98317536,1.04689922,1.05498509,1.00630915,1.03475336,1.04566872,1.00323799,1.00930626,0.98475222,2.89194139,0.98461538,2.01789003,1.07428571
S142,1.0017452,1.13107822,0.89865019,1.0017452,0.89865019,1.00121951,1.02614379,1.0028584999999999,0.98367859,1.14773396,1.07049808,1.04347826,0.99244332,1.04128959,1.00716418,1.01348136,3.99538462,2.53103448,1.0617284,1.07058824,1.04054054
S74,0.99366911,1.66150938,0.98748631,0.99366911,0.98748631,2.04532033,0.9812755999999999,0.97931799,0.98717949,1.11934106,1.04471044,0.99358485,0.99276572,1.02003878,0.98390212,0.9925799999999999,0.96878981,0.9969969999999999,1.35365854,1.42255749,1.03470032
S16,1.04772394,1.92958621,0.95058647,1.04772394,0.95058647,1.09634659,1.02413793,1.0308399,1.02666667,1.02537764,1.07248764,1.11962891,1.08923885,1.53359947,1.03180976,1.06311881,4.29843305,2.21052632,3.65536723,2.08310147,1.08737864
S27,1.00621118,1.55404755,0.99095793,1.05778547,2.00722971,1.12284132,0.99422707,0.97682353,0.96548395,1.10830114,1.06247465,1.01234774,1.09020772,1.04151505,0.98927692,1.02915148,0.97021546,1.34931507,5.27352298,3.47200878,1.08273381
S143,0.98917427,1.60207229,1.00696808,1.39686647,3.54114173,1.00912606,1.16032609,1.01057143,1.0305864,1.14416353,1.09605263,1.02671696,1.13740458,1.0424785,0.99523485,0.99736264,1.01756312,1.49107143,3.64536341,2.83704883,1.16260163
S144,0.96214056,1.52510294,0.94947309,1.0177665,2.94920993,1.2185129,1.08786936,0.98930869,0.98215385,1.06530409,0.98169873,0.99645861,1.04912068,1.15384615,0.99815474,0.97198305,2.01646091,2.07549079,2.96548418,4.54823801,0.98915989
S145,1.04301075,1.02173399,0.93975904,1.71327014,4.22235157,0.98908994,1.10695187,1.04087332,1.0244829,1.12781219,1.04404873,1.03619818,1.08474576,1.07173235,1.00758294,0.95294118,1.00465116,1.65491184,1.05970149,1.05,1.06086957
S146,1.00833223,0.95748088,1.03624276,1.21729139,2.66770414,1.33567005,1.01754386,0.99569713,2.36823263,1.09710239,1.00630915,0.99611822,1.08777598,1.02027175,1.00930626,1.00178066,1.03280481,2.58309038,2.01789003,2.10905147,1.10742188
S147,1.00234584,1.02428174,0.98413258,1.00234584,0.98413258,0.98631044,1.02409639,1.00538561,0.98592715,1.04326834,1.03507014,1.00088836,1.04264099,1.02622687,1.23404255,1.01376936,0.9893617,1.23553719,1.02678571,1.03888889,1.10169492
S148,0.98372868,1.01531758,0.96419181,0.98372868,0.96419181,0.97781679,1.00652377,0.98311492,0.98059701,1.09594374,1.00639764,1.02429372,1.09659614,0.99713368,0.97874916,0.98328538,0.97909091,2.82868937,1.00711744,1.02523659,1.05511811
S149,0.9717608,0.99835904,1.03848154,0.9717608,1.03848154,0.95888285,0.94355698,0.93694897,0.97624703,1.05927052,0.97968476,3.2952468,0.91096532,0.97108565,0.91582042,0.97652081,0.93932322,2.15114236,0.94897959,1.025,1.00934579
S150,1.02419355,0.99649825,0.91712224,1.07318405,1.01221996,0.98969631,0.91954023,0.99484536,2.08782435,1.09930314,1.04432624,1.02056359,0.97535211,1.02270884,0.94676979,1.04855196,0.95890411,2.875,0.92222222,1.14864865,1.1875
S59,1.01050788,1.0248896,0.9348434000000001,1.08002561,3.38888889,1.0169279,0.98730159,1.03677448,1.09136736,1.04187605,1.08867277,1.02514427,1.03672316,1.08654573,1.03252385,1.04046997,1.0,1.05882353,1.09756098,1.03571429,1.109375
S76,1.00033267,1.01363918,0.86704474,1.22964509,3.30982368,1.12252592,1.00544465,1.01735016,7.04095271,1.18052869,1.06692094,1.03196473,1.25574713,1.05989503,1.02646015,1.04561912,0.9789674999999999,1.36734694,1.25,2.19995334,2.55555556
S78,0.99256506,1.00525879,0.80845004,1.08631362,1.7654321,1.0074124,0.99170124,1.00826918,7.41537945,1.15482593,1.05922166,1.08793659,1.02380952,1.04101141,1.0145601,1.04208754,0.98360656,1.06802721,1.00769231,1.05511811,2.86764706
