Sample Type,Sample ID,1UR3_01,2UR3_02,3UR3_03,4UR3_04,5UR3_05,6UR3_06,7UR3_07,8UR3_08,1UR3_09,9UR3_10,1UR3_11,2UR3_12,2UR3_13,3UR3_14,3UR3_15,4UR3_16,4UR3_17,5UR3_18,5UR3_19,6UR3_20,,,BV01,BV02,BV03,BV04,BV05,BV06,BV07,BV08,BV09,BV10,BV11,BV12,BV13,BV14,BV15,BV16,BV17,BV18,BV19,BV20,,Mean norm of mean norm ,,,,BV01,BV02,BV03,BV04,BV05,BV06,BV07,BV08,BV09,BV10,BV11,BV12,BV13,BV14,BV15,BV16,BV17,BV18,BV19,BV20
Control,CI1,0.452322723,0.394167683,2.199976436,1.283419651,0.45557282,0.210890032,1.396510078,1.907617716,1.562082944,0.428331807,1.317971505,3.279703761,2.081671621,0.430029423,0.529320444,0.194774416,0.315326702,0.488704214,0.600120566,0.471485458,,Controls ,0.478739167,0.38777877,2.271704127,1.262233515,0.63369434,0.255054491,1.211084854,1.80778073,1.472985122,0.378531918,1.597409754,2.574015459,2.152987566,0.538110083,0.702052784,0.321952812,0.392058038,0.501909709,0.532978323,0.526938437,,,,,Controls ,0.478739167,0.38777877,2.271704127,1.262233515,0.63369434,0.255054491,1.211084854,1.80778073,1.472985122,0.378531918,1.597409754,2.574015459,2.152987566,0.538110083,0.702052784,0.321952812,0.392058038,0.501909709,0.532978323,0.526938437
Control,CI10,0.508742724,0.361018233,1.808748553,1.273332095,0.542242188,0.294985331,1.427853543,1.896993174,1.438177842,0.417890051,1.755832747,2.053633231,2.303715159,0.617160985,0.849079775,0.298133681,0.52540624,0.598329614,0.549018122,0.479706713,,HI ,0.545506631,0.441760962,2.399441064,1.674950782,0.769349147,0.223248503,1.237623276,1.40212217,1.350510631,0.411295633,1.643477349,1.78504774,2.153516056,0.472987098,0.717528131,0.348826529,0.419548373,0.50774586,0.793644022,0.701870046,,,,,HI ,0.545506631,0.441760962,2.399441064,1.674950782,0.769349147,0.223248503,1.237623276,1.40212217,1.350510631,0.411295633,1.643477349,1.78504774,2.153516056,0.472987098,0.717528131,0.348826529,0.419548373,0.50774586,0.793644022,0.701870046
Control,CI2,0.533572018,0.358129865,2.187342794,1.308189167,0.659337761,0.315437077,0.946556261,1.673615025,1.484208848,0.378828896,2.027527588,2.468568552,1.94486662,0.69089707,0.646516204,0.287595395,0.431343982,0.41626693,0.676029404,0.565170544,,KP,0.512261965,0.335608808,3.037379258,1.572076714,0.666573353,0.199900331,1.05407113,1.23743123,1.126160596,0.300923193,1.653530081,2.334121365,2.253437682,0.380347418,0.832887349,0.416134997,0.353158906,0.394853814,0.631255654,0.707886154,,,,,KP,0.512261965,0.335608808,3.037379258,1.572076714,0.666573353,0.199900331,1.05407113,1.23743123,1.126160596,0.300923193,1.653530081,2.334121365,2.253437682,0.380347418,0.832887349,0.416134997,0.353158906,0.394853814,0.631255654,0.707886154
Control,CI3,0.58327819,0.357454028,2.560043429,1.008222805,0.493002701,0.270704713,0.759807641,1.650726559,1.444383456,0.296699075,1.246310455,3.064326064,2.276902128,0.451375103,0.740242999,0.303618867,0.379692739,0.482256988,0.81083848,0.82011358,,PA01,0.500772564,0.505585354,1.155900782,0.993878087,0.706942356,0.246849154,1.96543425,0.851238396,0.948350266,0.350714123,1.228029542,1.855599655,3.27473994,0.396141111,0.621251753,0.367575483,0.351027283,0.778275556,1.400802492,1.500891853,,,,,PA01,0.500772564,0.505585354,1.155900782,0.993878087,0.706942356,0.246849154,1.96543425,0.851238396,0.948350266,0.350714123,1.228029542,1.855599655,3.27473994,0.396141111,0.621251753,0.367575483,0.351027283,0.778275556,1.400802492,1.500891853
Control,CI4,0.553350624,0.351959277,1.911495666,1.187597202,0.723804607,0.315503893,1.866004685,1.930722285,1.411677448,0.269824797,1.362232745,1.944325411,2.438831411,0.569407407,0.734161575,0.486408972,0.366527818,0.59835462,0.488263002,0.489546555,,PA14,0.697015328,0.728312914,1.536686219,1.072307063,0.750153257,0.304133454,1.154864266,0.877202704,0.942409924,0.339785077,1.023656248,1.687629951,2.920678262,0.36380839,0.653964988,0.392042879,0.445206632,0.88552867,1.761700111,1.462913664,,,,,PA14,0.697015328,0.728312914,1.536686219,1.072307063,0.750153257,0.304133454,1.154864266,0.877202704,0.942409924,0.339785077,1.023656248,1.687629951,2.920678262,0.36380839,0.653964988,0.392042879,0.445206632,0.88552867,1.761700111,1.462913664
Control,CI5,0.434309952,0.340146276,2.507599268,1.380427193,0.655224791,0.199454592,1.1716673,1.745552729,1.536175232,0.390752059,1.783540048,2.253120791,2.216031817,0.5147006,0.595472485,0.324359025,0.367657521,0.531702639,0.456937518,0.595168165,,PR8,0.524681504,0.477509546,2.325964979,1.564742894,0.734441448,0.310407514,1.457919889,1.02216445,1.074381081,0.384373334,1.469543088,1.206215313,2.579847826,0.428217623,0.717348434,0.349357718,0.407465938,0.760901905,1.11499577,1.089519745,,,,,PR8,0.524681504,0.477509546,2.325964979,1.564742894,0.734441448,0.310407514,1.457919889,1.02216445,1.074381081,0.384373334,1.469543088,1.206215313,2.579847826,0.428217623,0.717348434,0.349357718,0.407465938,0.760901905,1.11499577,1.089519745
Control,CI6,0.569707177,0.391675879,2.216644162,0.957165062,0.461728193,0.467540417,1.496937201,1.44407984,1.575975487,0.483843865,1.632257866,2.633670897,1.790792579,0.696315471,0.791805731,0.424266419,0.430700038,0.519883827,0.45138911,0.563620778,,PVM,0.430752731,0.36382767,2.487351946,1.735929296,0.533723396,0.198863305,2.851471314,0.947327823,1.162823807,0.315641385,1.633100993,1.162823807,2.728364835,0.332873934,0.543679218,0.266876123,0.307128695,0.518751729,0.723923452,0.754764541,,,,,PVM,0.430752731,0.36382767,2.487351946,1.735929296,0.533723396,0.198863305,2.851471314,0.947327823,1.162823807,0.315641385,1.633100993,1.162823807,2.728364835,0.332873934,0.543679218,0.266876123,0.307128695,0.518751729,0.723923452,0.754764541
Control,CI7,0.423586472,0.333125193,2.436028735,1.300166743,0.700546173,0.251835143,1.106176407,1.945351471,1.648323432,0.380023227,1.664844879,2.292319932,2.290291531,0.471683749,0.563539708,0.253728,0.465020822,0.475208778,0.513097055,0.48510255,,SA,0.498139809,0.538653205,1.636679821,1.433574487,0.731255172,0.221186395,1.45780533,1.166991806,1.216868534,0.437463164,1.362665228,1.468625987,2.824309745,0.435325093,0.553694756,0.332991726,0.4064538,0.742931021,1.19657921,1.337805709,,,,,SA,0.498139809,0.538653205,1.636679821,1.433574487,0.731255172,0.221186395,1.45780533,1.166991806,1.216868534,0.437463164,1.362665228,1.468625987,2.824309745,0.435325093,0.553694756,0.332991726,0.4064538,0.742931021,1.19657921,1.337805709
Control,CI8,0.580736985,0.392368942,1.592750192,0.861117334,0.786570223,0.329927521,1.394757389,1.820154763,1.374498651,0.430615647,1.646264088,2.85723385,2.127977655,0.604534954,1.065292991,0.304554909,0.279428674,0.503256311,0.505815314,0.542143606,,SP,0.419080499,0.369273596,3.75096038,2.515783617,0.706989914,0.20643042,0.927470716,1.174456541,1.336343631,0.359265109,1.528821828,1.451600821,2.002099569,0.370088601,0.518892013,0.231151104,0.293963499,0.449733621,0.640746114,0.746848408,,,,,SP,0.419080499,0.369273596,3.75096038,2.515783617,0.706989914,0.20643042,0.927470716,1.174456541,1.336343631,0.359265109,1.528821828,1.451600821,2.002099569,0.370088601,0.518892013,0.231151104,0.293963499,0.449733621,0.640746114,0.746848408
Control,CI9,0.381001849,0.337784651,2.53987795,1.293871949,0.657395518,0.233684889,0.893568624,1.810214551,1.466072747,0.327801652,1.534954737,2.741186842,2.11100655,0.504412258,0.693357657,0.297215647,0.371446199,0.495692435,0.558338351,0.751114943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control,CII1,0.488981678,0.310180913,2.146203448,1.35928635,0.524754963,0.230073023,1.205816264,2.123589399,1.490387332,0.540536178,1.504712529,2.796461478,1.785507428,0.504705194,0.921781979,0.259511266,0.454953009,0.46286496,0.448603638,0.441088972,,Fold change vs. controls ,,,,,,,,,,,,,,,,,,,,,,FC of (mean mean norm),,,,BV01,BV02,BV03,BV04,BV05,BV06,BV07,BV08,BV09,BV10,BV11,BV12,BV13,BV14,BV15,BV16,BV17,BV18,BV19,BV20
Control,CII10,0.502022725,0.703605551,2.286423876,1.292365526,0.574534893,0.145866259,0.829829456,2.164286744,1.090067298,0.540890536,1.516854108,2.563830193,1.796708875,0.554988171,0.728166606,0.709358687,0.439794741,0.558481025,0.481804907,0.520119823,,,,,,,,,,,,,,,,,,,,,,,,,,,Controls ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
